TITLE,AUTHOR,HATHI_ID,PUBLISHER,YEAR,GENDER,RACE,NATIONALITY,GENRE,YEAR_CORRECT
The temple of dawn. | $c: Translated from the Japanese by E. Dale Saunders and Cecilia Segawa Seigle.,"Mishima, Yukio,",uc1.32106017810497,New York|Knopf; [distributed by Random House|1973.,1973,male,asian,japanese,LIT,1973
The chip-chip gatherers.,"Naipaul, Shiva,",uc1.b3435486,New York|Knopf; [distributed by Random House|1973.,1973,male,asian,Trinidadian and British,LIT,1973
The high valley.,"North, Jessica.",mdp.39015008362918,New York|Random House|1973,1973,female,white,american,WEST,1973
"Suddenly tomorrow; | a novel, | $c: by P. M. Pasinetti.","Pasinetti, P. M.",uc1.$b453060,"New York|Random House|1973, c1972",1973,F,Caucasian,Italian,LIT,1973
The vanished,"Pronzini, Bill",uc1.b4951423,New York|Random House|1973,1973,male,white,american,DET,1973
Embarkation | $c: [by] J. R. Salamanca. -,"Salamanca, J. R.",uc1.b4358748,New York|Knopf; [distributed by Random House|1973.,1973,M,white,American,LIT,1973
Rabbit boss. -,"Sanchez, Thomas.",mdp.39015002758301,New York|Knopf; [distributed by Random House|1973.,1973,male,latinx,american,LIT,1973
Harvest home.,"Tryon, Thomas.",uc1.32106005749269,New York|Knopf; [distributed by Random House|1973.,1973,male,white,american,FAN,1973
Forgetting Elena / | $c: Edmund White.,"White, Edmund,",mdp.39015037836650,New York|Random House|c1973.,1973,male,white,american,LIT,1973
The oath | $c: [by] Elie Wiesel. Translated from the French by Marion Wiesel.,"Wiesel, Elie,",uc1.b3768570,New York|Random House|1973,1973,male,white,american,LIT,1973
Hiding place,"Wilcox, Collin",uc1.b4951598,New York|Random House|1973,1973,male,white,american,DET,1973
The trapper's last shot.,"Yount, John,",uc1.b4450036,New York|Random House|1973,1973,male,white,american,DET,1973
Astounding; John W. Campbell memorial anthology. | $c: Edited by Harry Harrison. -,,mdp.39015030128220,New York|Random House|1973,1973,na,na,na,SCI,1973
Foolish Gretel,"Armstrong, Jennifer",,Random House,1974,F,Caucasian,American,HIST,1997
Forty Words For Sorrow,"Blunt, Giles",,Random House,1974,M,Caucasian,Canadian,DET,2000
Fraud,"Brookner, Anita",,Random House,1974,F,white,British,ROM,1992
Freddy And The Perilous Adventure,"Brooks, Walter R",,Random House,1974,M,Caucasian,American,YA,1969
Four Novels,"Dickens, Charles",,Random House,1974,M,Caucasian,American,LIT,1982
From Rockaway,"Eisenstadt, Jill",,Random House,1974,F,Caucasian,American,YA,1987
From A Far Land,"Elegant, Robert S",,Random House,1974,M,Caucasian,American,LIT,1987
Fried Green Tomatoes At The Whistle-Stop Cafe,"Flagg, Fannie",,Random House,1974,F,Caucasian,American,LIT,1987
Foreign Devil,"Harris, Christine",,Random House,1974,F,Caucasian,Australian,YA,1999
Fortune Cookies,"Harris, Christine",,Random House,1974,F,Caucasian,Australian,LIT,1998
From Where The Sun Now Stands,"Henry, Will",,Random House,1974,M,Caucasian,American,LIT,1960
Freedom'S Fruit,"Hooks, William H",,Random House,1974,M,Caucasian,American,FAN,1996
From The Corner Of His Eye,"Koontz, Dean",,Random House,1974,M,Caucasian,American,LIT,2000
"Found, One Orange-Brown Horse","Lauber, Patricia",,Random House,1974,F,Caucasian,American,YA,1957
Funny Business,"Mccay, William",,Random House,1974,M,Caucasian,American,YA,1989
Fugitive Pieces,"Michaels, Anne",,Random House,1974,F,Caucasian,Canadian,LIT,1997
Freddy'S Book,"Neufeld, John",,Random House,1974,M,Caucasian,American,LIT,1973
Follow Me,"Reilly, Helen",,Random House,1974,F,Caucasian,American,DET,1960
Freddie The Frightened And The Wondrous Ms Wardrobe,"Shrapnel, Pamela",,Random House,1974,,,,YA,"1990, 1988"
Fortune'S Rocks,"Shreve, Anita",,Random House,1974,F,Caucasian,American,ROM,1999
Frankenstein,"Weinberg, Larry",,Random House,1974,male,white,American,FAN,1982
The Kentucky trace; | a novel of the American Revolution | $c: [by] Harriette Simpson Arnow.,"Arnow, Harriette Louisa Simpson,",uc1.b4381211,New York|Knopf; [distributed by Random House|1974.,1974,female,white,american,LIT,1974
Napoleon symphony | $c: [by] Anthony Burgess.,"Burgess, Anthony,",mdp.39015005020956,New York|Knopf; [distributed by Random House|1974.,1974,male,white,british,LIT,1974
Universe 4.,"Carr, Terry,",mdp.39015013970796,New York|Random House|1974,1974,male,white,american,SCI,1974
The gypsy's curse; | a novel.,"Crews, Harry,",uc1.b4951749,New York|Knopf; [distributed by Random House|1974.,1974,male,white,american,LIT,1974
Switch bitch.,"Dahl, Roald.",mdp.39015027238321,New York|Knopf; [distributed by Random House|1974.,1974,M,Caucasian,British,DET,1974
Abraham of Brooklyn. | $c: Translated from the French by Elaine P. Halperin.,"Decoin, Didier,",mdp.39015033354948,New York|Knopf; [distributed by Random House|1974 [c1973,1974,male,white,french,LIT,1974
Ark of bones and other stories. | $c: Edited by Eugene B. Redmond.,"Dumas, Henry,",mdp.39076006285956,New York|Random House|1974,1974,M,Black,American,FAN,1974
The hesitant heart. -,"Edwards, Anne,",mdp.39015031232492,New York|Random House|1974,1974,female,white,american,ROM,1974
Stronghold,"Ellin, Stanley",uc1.b4951646,New York|Random House|1974,1974,male,white,american,DET,1974
The king's Indian; | stories and tales | $c: [by] John Gardner ; illustrated by Herbert L. Fink.,"Gardner, John,",mdp.39015003681213,New York|Knopf; [distributed by Random House|1974.,1974,male,white,american,YA,1974
The odd woman.,"Godwin, Gail.",mdp.39015046379189,New York|Knopf; [distributed by Random House|1974.,1974,female,white,american,ROM,1974
"The man from Greek and Roman, | a novel.","Goldman, James.",mdp.39015003932137,New York|Random House|1974,1974,M,Caucasian,American,DET,1974
Selected writings of William Goyen; | $c: eight favorites by a master American story-teller. Illustrated by Elizabeth Fairbanks.,"Goyen, William.",pst.000029186464,New York|Random House|1974,1974,M,Caucasian,American,LIT,1974
The Continental Op. | $c: Selected and with an introd. by Steven Marcus.,"Hammett, Dashiell,",mdp.39015002655531,New York|Random House|1974,1974,M,Caucasian,American,DET,1974
The conjurers,"Harris, Marilyn.",uc1.b4446292,New York|Random House|1974,1974,female,white,american,FAN,1974
Something happened.,"Heller, Joseph.",mdp.39015049553541,New York|Knopf; [distributed by Random House|1974.,1974,male,white,american,LIT,1974
My petition for more space | $c: [by] John Hersey.,"Hersey, John,",mdp.39015036895640,New York|Knopf; [distributed by Random House|1974.,1974,male,white,american,SCI,1974
Let's fall in love.,"Hill, Carol,",mdp.39015032821939,New York|Random House|1974,1974,female,white,american,DET,1974
Great Maria.,"Holland, Cecelia,",mdp.39015031234464,New York|Knopf; [distributed by Random House|1974.,1974,female,white,american,LIT,1974
The 158-pound marriage.,"Irving, John,",mdp.49015000692526,New York|Random House|1974,1974,M,white,American,LIT,1974
The shadow knows.,"Johnson, Diane,",uc1.b4950751,New York|Knopf; [distributed by Random House|1974.,1974,female,white,american,DET,1974
Spreading fires.,"Knowles, John,",uc1.32106002176797,New York|Random House|1974,1974,M,Caucasian,American,LIT,1974
Laughable loves. | $c: Translated from the Czech by Suzanne Rappaport.,"Kundera, Milan.",mdp.39015027233777,New York|Knopf; [distributed by Random House|1974.,1974,M,Caucasian,Czech,LIT,1974
"Tinker, tailor, soldier, spy | $c: [by] John le Carr__í_Œ‚í_Œé___í_Œ‚í_Œé__.","Le Carr__í_Œ‚í_Œé___í_Œ‚í_Œé__, John,",mdp.39015004263276,New York|Knopf; [distributed by Random House|1974.,1974,male,white,british,,1974
The war between the Tates / | $c: Alison Lurie.,"Lurie, Alison.",mdp.39015002659707,New York|Random House|1974.,1974,F,Caucasian,American,ROM,1974
Great stories of suspense.,"Macdonald, Ross,",mdp.39015035325425,New York|Knopf; [distributed by Random House|1974.,1974,M,Caucasian,American,LIT,1974
Painting the roses red.,"Malone, Michael.",uc1.b4951335,New York|Random House|1975] c1974.,1974,M,white,American,ROM,1974
Look what they done to my song; | a novel.,"McCluskey, John.",mdp.39015004311570,New York|Random House|1974,1974,male,afam,american,LIT,1974
Lookout cartridge.,"McElroy, Joseph.",uc1.32106002179056,New York|Knopf; [distributed by Random House|1974.,1974,male,white,american,DET,1974
The toll.,"Mewshaw, Michael,",uc1.b4451161,"New York|Random House|1974, c1973",1974,M,Caucasian,American,DET,1974
Centennial / | $c: James A. Michener.,"Michener, James A. (James Albert),",mdp.49015002997865,New York|Random House|1974.,1974,male,white,american,LIT,1974
The decay of the angel. | $c: Translated from the Japanese by Edward G. Seidensticker.,"Mishima, Yukio,",uc1.32106012616386,New York|Knopf; [distributed by Random House|1974.,1974,male,asian,japanese,LIT,1974
Sula.,"Morrison, Toni.",uc1.32106019072633,New York|Knopf; [distributed by Random House|1974 [c1973,1974,F,Black,American,LIT,1974
"Good Samaritan, and other stories.","O'Hara, John,",mdp.39015066688048,New York|Random House|1974,1974,M,Caucasian,American,LIT,1974
"The Camberwell beauty, and other stories | $c: [by] V. S. Pritchett.","Pritchett, V. S. (Victor Sawdon),",mdp.39015066683304,New York|Random House|1974,1974,male,white,british,LIT,1974
The last days of Louisiana Red.,"Reed, Ishmael,",mdp.39015013234508,New York|Random House|1974,1974,male,afam,american,DET,1974
People of the valley.,"Sargent, Wyn.",mdp.39015011237347,New York|Random House|1974,1974,na,na,na,LIT,1974
Born with the dead; | three novellas.,"Silverberg, Robert.",mdp.39015030712221,New York|Random House|1974,1974,male,white,american,LIT,1974
The death of the detective.,"Smith, Mark,",mdp.39015000615263,New York|Knopf; [distributed by Random House|1974.,1974,M,white,American,DET,1974
Butcher's moon | $c: [by] Richard Stark,"Stark, Richard",uc1.32106014452558,New York|Random House|1974,1974,M,Caucasian,American,DET,1974
Lady; | a novel.,"Tryon, Thomas.",mdp.39015008680483,New York|Knopf; [distributed by Random House|1974.,1974,M,Caucasian,American,DET,1974
Drifting cities; | $c: a trilogy by Stratis Tsirkas. Translated from the Greek by Kay Cicellis.,"Tsirkas, Strat_í_Œ‚í_Œé____í_Œ‚í_Œé__s.",mdp.39015011556365,New York|Knopf; [distributed by Random House|1974.,1974,male,white,greek,LIT,1974
Myron; | a novel.,"Vidal, Gore,",uc1.32106002151998,New York|Random House|1974,1974,M,Caucasian,American,SCI,1974
Tiffany Street. -,"Weidman, Jerome,",mdp.39015031307542,New York|Random House|1974,1974,M,Caucasian,American,LIT,1974
The hair of Harold Roux.,"Williams, Thomas,",uc1.b4355347,New York|Random House|1974,1974,M,Caucasian,American,LIT,1974
Getting There,"Bloom, William",,Random House,1975,M,Caucasian,British,YA,1973
Garry Keeble'S Kitchen,"Broome, Errol",,Random House,1975,F,Caucasian,Australian,YA,1992
Ghost Dancer,"Case, John",,Random House,1975,"F, M",Caucasian,American,DET,1984
Godzilla,"Ciencin, Scott",,Random House,1975,M,Caucasian,American,FAN,1998
Godzilla Vs The Space Monster,"Ciencin, Scott",,Random House,1975,M,Caucasian,American,YA,1998
George'S Marvelous Medicine,"Dahl, Roald",,Random House,1975,M,Caucasian,British,YA,1981
Godzilla On Monster Island,"Dwyer, Jackie",,Random House,1975,,,,YA,1996
"George Eliot, Selected Works","Eliot, George",,Random House,1975,M,Caucasian,British,LIT,1995
"Go Down, Moses","Faulkner, William",,Random House,1975,M,Caucasian,American,LIT,1955
Golden Threads,"Hooper, Kay",,Random House,1975,F,Caucasian,American,ROM,1989
Gandali The Whale,"Hooper, Meredith",,Random House,1975,F,Caucasian,Australian,YA,2000
Glamorous Powers,"Howatch, Susan",,Random House,1975,F,Caucasian,British,LIT,1988
Gambit And The Shadow King,"Hughes, Francine",,Random House,1975,F,white,,YA,1994
Gone,"Kellerman, Jonathan",,Random House,1975,M,Caucasian,American,DET,1984
Ghost Boy,"Lawrence, Iain",,Random House,1975,M,Caucasian,Canadian,DET,2000
Gathering Blue,"Lowry, Lois",,Random House,1975,F,Caucasian,American,YA,2000
Ghost Town,"Nixon, Joan",,Random House,1975,F,Caucasian,American,YA,2000
"Get Lost, Sylvie!","Oliver, Diana",,Random House,1975,F,white,,YA,1993
Ghost Town At Sundown,"Osborne, Mary Pope",,Random House,1975,F,Caucasian,American,YA,1997
Ghost Town At Sundown #10,"Osborne, Mary Pope",,Random House,1975,F,Caucasian,American,YA,1997
Get Real,"Pascal, Francine",,Random House,1975,F,Caucasian,American,YA,2000
Giant Treasury Of Peter Rabbit,"Potter, Beatrix",,Random House,1975,F,Caucasian,English,LIT,1980
Gods And Generals,"Shaara, Jeff",,Random House,1975,M,Caucasian,American,HIST,1996
Gone For Soldiers,"Shaara, Jeff",,Random House,1975,M,Caucasian,American,HIST,2000
Genghis Khan,"Sharmat, Marjorie Weinman",,Random House,1975,F,Caucasian,American,YA,1994
Golden Fox,"Smith, Wilbur A",,Random House,1975,M,Caucasian,South African,DET,1990
Galileo'S Daughter,"Sobel, Dava",,Random House,1975,F,Caucasian,American,ROM,1999
Ghost Horse,"Stanley, George Edward",,Random House,1975,M,Caucasian,American,YA,2000
Gnasty Gnomes,"Stine, Jovial Bob",,Random House,1975,M,Caucasian,American,YA,1981
Gertrude And Claudius,"Updike, John",,Random House,1975,M,Caucasian,American,HIST,2000
God Save The Mark,"Westlake, Donald E",,Random House,1975,M,Caucasian,American,DET,1967
"Families and survivors, | by Alice Adams.","Adams, Alice,",mdp.39015004755925,New York|Knopf; [distributed by Random House|1974 [i.e. 1975,1975,female,white,american,LIT,1975
Hers / | $c: A. Alvarez.,"Alvarez, A. (Alfred),",uc1.b3865798,New York|Random House|1975] c1974.,1975,male,white,british,LIT,1975
The Chinese bandit / | $c: Stephen Becker.,"Becker, Stephen D.,",mdp.39015005440550,New York|Random House|1975,1975,male,white,american,DET,1975
Dandelion wine : | a novel / | $c: Ray Bradbury.,"Bradbury, Ray,",mdp.49015000565706,"New York|Knopf : distributed by Random House|1975, c1957.",1975,male,white,american,LIT,1975
The boat / | $c: Lothar-G__í_Œ‚í_Œé__nther Buchheim ; translated from the German by Denver and Helen Lindley.,"Buchheim, Lothar G__í_Œ‚í_Œé__nther.",mdp.39015008900212,New York|Knopf : distributed by Random House|1975.,1975,male,white,german,,1975
"The clockwork testament; | or, Enderby's end | $c: [by] Anthony Burgess. Illustrated by the Quays.","Burgess, Anthony,",uc1.32106002038641,New York|Knopf; [distributed by Random House|1975 [c1974,1975,M,Caucasian,British,LIT,1975
Welcome to Hard Times / | $c: by E. L. Doctorow.,"Doctorow, E. L.,",mdp.39015005790343,New York|Random House|1975] c1960.,1975,M,Caucasian,American,LIT,1975
Ragtime / | $c: by E. L. Doctorow.,"Doctorow, E. L.,",mdp.39015062115814,New York|Random House|1975,1975,male,white,american,LIT,1975
Flashman in the great game / | $c: George MacDonald Fraser.,"Fraser, George MacDonald,",mdp.49015001109876,New York|Knopf : distributed by Random House|1975.,1975,M,Caucasian,British,HIST,1975
The house of breath / | $c: William Goyen.,"Goyen, William.",mdp.49015000592593,New York|Random House|1975,1975,male,white,american,LIT,1975
"A dove of the East, and other stories / | $c: Mark Helprin.","Helprin, Mark.",mdp.39015035320426,New York|Knopf : distributed by Random House|1975.,1975,M,Caucasian,American,LIT,1975
A city on a hill / | $c: George V. Higgins.,"Higgins, George V.,",uc1.32106002173737,New York|Knopf : distributed by Random House|1975.,1975,M,Caucasian,American,DET,1975
Turtle diary / | $c: Russell Hoban.,"Hoban, Russell.",uc1.32106002173976,New York|Random House|c1975.,1975,M,Caucasian,American,LIT,1975
Mutiny on the Globe / | $c: Edwin P. Hoyt.,"Hoyt, Edwin Palmer.",mdp.39015011381012,New York|Random House|1975,1975,male,white,american,HIST,1975
Corregidora.,"Jones, Gayl.",mdp.39015003636316,New York|Random House|1975,1975,F,Black,American,LIT,1975
Other people's lives / | $c: Johanna Kaplan.,"Kaplan, Johanna.",mdp.39015019226565,New York|Knopf: distributed by Random House|1975.,1975,F,white,American,LIT,1975
"Julia and the bazooka, and other stories / | $c: by Anna Kavan [i.e. H. W. Edmonds] ; edited by Rhys Davies, with an introd. by Rhys Davies.","Kavan, Anna,",mdp.39015029758359,"New York|Knopf : distributed by Random House|1975, c1970.",1975,female,white,british,DET,1975
Beauty and sadness / | $c: Yasunari Kawabata ; translated from the Japanese by Howard Hibbett.,"Kawabata, Yasunari,",mdp.39015005451029,New York|Knopf : distributed by Random House|1975,1975,F,Asian,Japanese,LIT,1975
Dragonfly / | $c: K. R. Dwyer [i.e. D. Koontz].,"Koontz, Dean R. (Dean Ray),",uc1.32106017813053,New York|Random House|1975,1975,male,white,american,DET,1975
The seven days of creation / | $c: Vladimir Maximov.,"Maksimov, Vladimir Emel_í_Œ‚í_Œé____i_í_Œ‚í_Œé_______í_Œ‚í_Œé___í_Œ‚í_Œé______í_Œ‚í_Œé___ovich.",uc1.$b438046,"New York|Knopf : distributed by Random House|1975, c1974.",1975,male,white,russian,LIT,1975
Far Tortuga / | $c: Peter Matthiessen.,"Matthiessen, Peter.",mdp.39015066056949,New York|Random House|1975,1975,male,white,american,HIST,1975
Catch rides / | $c: Sara McAulay.,"McAulay, Sara.",uc1.b3451741,New York|Knopf : distributed by Random House|1975.,1975,female,white,american,ROM,1975
Where there's Smoke / | $c: Ed McBain,"McBain, Ed,",uc1.b4951189,New York|Random House|1975,1975,M,Caucasian,American,DET,1975
Blood relatives : | an 87th precinct mystery / | $c: by Ed McBain [i.e. E. Hunter],"McBain, Ed,",uc1.b4951183,New York|Random House|1975,1975,male,white,american,DET,1975
In the beginning / | $c: Chaim Potok.,"Potok, Chaim.",mdp.39015004993609,New York|Knopf : distributed by Random House|1975.,1975,male,white,american,LIT,1975
Las Vegas Strip / | $c: Morris Renek.,"Renek, Morris.",uc1.b4951429,New York|Knopf : distributed by Random House|1975.,1975,male,white,american,DET,1975
The gates of hell / | $c: Harrison E. Salisbury.,"Salisbury, Harrison E. (Harrison Evans),",uc1.32106002186218,New York|Random House|1975,1975,male,white,american,LIT,1975
Harry's game : | a novel / | $c: Gerald Seymour.,"Seymour, Gerald.",mdp.39015066065114,New York|Random House|1975,1975,male,white,british,DET,1975
In a year of grace / | $c: Honor Tracy.,"Tracy, Honor,",mdp.39015008455399,New York|Random House|1975,1975,F,Caucasian,British,ROM,1975
A month of Sundays / | $c: John Updike.,"Updike, John.",mdp.39015026874050,New York|Knopf : distributed by Random House|1975.,1975,male,white,american,ROM,1975
The baby : | a video novel / | $c: by Viva.,"Viva,",uc1.$b76965,New York|Knopf : distributed by Random House|1975.,1975,female,white,american,LIT,1975
Susannah screaming / | $c: Carolyn Weston.,"Weston, Carolyn.",pst.000046209245,New York|Random House|1975].,1975,female,white,american,DET,1975
Aftershock / | $c: Collin Wilcox,"Wilcox, Collin",uc1.b4951596,New York|Random House|1975,1975,M,Caucasian,American,DET,1975
Giant talk : | an anthology of Third World writings / | $c: compiled and edited by Quincy Troupe and Rainer Schulte.,,mdp.39015012980002,New York|Random House|c1975.,1975,na,na,na,LIT,1975
"Good Night, Mummy!","Black, J R",,Random House,1976,,,,FAN,1994
Guess Who'S Dating A Werewolf?,"Black, J R",,Random House,1976,,,,YA,1993
Greyfriar'S Bobby,"Brown, Ruth",,Random House,1976,F,,,LIT,1995
Grimm'S Fairy Tales,"Dobbs, Rose",,Random House,1976,F,,,YA,1955
Grounded,"Domke, Todd",,Random House,1976,M,Caucasian,American,YA,1982
Grand Jury,"Friedman, Philip",,Random House,1976,M,Caucasian,American,DET,1996
Grendel,"Gardner, John",,Random House,1976,M,Caucasian,American,FAN,1971
Great-Uncle Dracula,"Harvey, Jayne",,Random House,1976,F,Caucasian,American,YA,1992
Great-Uncle Dracula And The Dirty Rat,"Harvey, Jayne",,Random House,1976,F,Caucasian,American,YA,1993
Got A Problem?,"Pascal, Francine",,Random House,1976,F,Caucasian,American,YA,"2000, 1999"
"Goodbye, Amanda The Good","Shreve, Susan",,Random House,1976,M,Caucasian,American,YA,2000
Granny Dan,"Steel, Danielle",,Random House,1976,F,Caucasian,American,ROM,1999
Gulliver'S Travels,"Swift, Jonathan",,Random House,1976,M,Caucasian,Irish,YA,1991
Goose Eggs,"Taylor, E J",,Random House,1976,M,Caucasian,American,YA,1984
"Goodbye, Vietnam","Whelan, Gloria",,Random House,1976,F,Caucasian,American,YA,"2000, 1992"
Kinflicks : | a novel / | $c: by Lisa Alther.,"Alther, Lisa.",mdp.39015047522167,"New York|Knopf : distributed by Random House|1976, c1975.",1976,F,white,American,ROM,1976
Millenium : | a novel about people and politics in the year 1999 / | $c: by Ben Bova.,"Bova, Ben,",pst.000031216869,New York|Random House|c1976.,1976,male,white,american,SCI,1976
Blue Russell / | $c: Will Bryant.,"Bryant, Will.",mdp.39015030761616,New York|Random House|c1976.,1976,male,na,na,WEST,1976
Generations : | a memoir / | $c: Lucille Clifton.,"Clifton, Lucille,",mdp.39015013126985,New York|Random House|c1976.,1976,female,afam,american,LIT,1976
A hero in his time : | a novel / | $c: by Arthur A. Cohen.,"Cohen, Arthur A. (Arthur Allen),",mdp.39015031222485,New York|Random House|c1976.,1976,male,white,american,DET,1976
Jonoah and the green stone / | $c: by Henry Dumas ; arr. by Eugene B. Redmond.,"Dumas, Henry,",mdp.39015031233086,New York|Random House|c1976.,1976,M,Black,American,LIT,1976
October light / | $c: John Gardner ; illustrated by Elaine Raphael and Don Bolognese.,"Gardner, John,",mdp.39015003681254,New York|Knopf : distributed by Random House|1976.,1976,M,Caucasian,American,LIT,1976
Making ends meet / | $c: Barbara Howar.,"Howar, Barbara.",uc1.b3462690,New York|Random House|c1976.,1976,female,white,american,ROM,1976
Wychwood / | $c: Nicole St. John [i.e. N. Johnston].,"Johnston, Norma.",uc1.b4451042,New York|Random House|c1976.,1976,female,white,american,HIST,1976
Straight / | $c: Steve Knickmeyer.,"Knickmeyer, Steve,",uc1.b4463153,New York|Random House|c1976.,1976,male,white,american,DET,1976
Doctor Rat / | $c: William Kotzwinkle.,"Kotzwinkle, William.",mdp.39015001362329,New York|Knopf : distributed by Random House|1976.,1976,male,white,american,LIT,1976
The blue hammer / | $c: Ross Macdonald.,"Macdonald, Ross,",uc1.32106002129234,New York|Knopf : distributed by Random House|1976.,1976,male,white,american/canadian,DET,1976
So long as you both shall live / | $c: Ed McBain,"McBain, Ed,",uc1.b4951188,New York|Random House|c1976,1976,male,white,american,DET,1976
Ask for me tomorrow / | $c: Margaret Millar.,"Millar, Margaret.",uc1.32106002180732,New York|Random House|c1976.,1976,F,Caucasian,American,DET,1976
Man plus / | $c: Frederik Pohl.,"Pohl, Frederik.",uc1.b3884191,New York|Random House|c1976.,1976,M,Caucasian,American,SCI,1976
Flight to Canada / | $c: Ishmael Reed.,"Reed, Ishmael,",mdp.39015066048912,New York|Random House|c1976.,1976,M,Black,American,HIST,1976
Miss Herbert (the suburban wife) / | $c: Christina Stead.,"Stead, Christina,",mdp.39015012943596,New York|Random House|c1976.,1976,male,white,australian,ROM,1976
A German affair / | $c: Theodore Weesner.,"Weesner, Theodore.",uc1.b4360950,New York|Random House|c1976.,1976,M,Caucasian,American,ROM,1976
Half a marriage / | $c: Violet Weingarten.,"Weingarten, Violet.",uc1.b3454965,New York|Knopf : distributed by Random House|1976.,1976,female,white,american,ROM,1976
Remember me / | $c: Fay Weldon.,"Weldon, Fay.",mdp.39015004124189,New York|Random House|c1976.,1976,F,Caucasian,British,ROM,1976
Brothers / | $c: Chayym Zeldis.,"Zeldis, Chayym,",mdp.39015008912209,New York|Random House|c1976.,1976,M,Caucasian,Israeli,FAN,1976
Future power : | a science fiction anthology / | $c: edited with introd. and commentary by Jack Dann and Gardner Dozois.,,uc1.32106006577115,New York|Random House|c1976.,1976,na,na,na,SCI,1976
Handmaid'S Tale,"Atwood, Margaret",,Random House,1977,F,Caucasian,Canadian,SCI,1998
Happy Jack And The Princess,"Battaglia, Aurelius",,Random House,1977,M,Caucasian,American,YA,1978
Harriet The Spy,"Fitzhugh, Louise",,Random House,1977,F,Caucasian,American,YA,"2000, 1964"
Happy Bear'S Happy Christmas,"Gerver, Jane E",,Random House,1977,,,,YA,1988
H Is For Homicide,"Grafton, Sue",,Random House,1977,F,Caucasian,American,DET,"1992, 1991"
"Happy Valentine'S Day, Miss Hildy!","Grambling, Lois G",,Random House,1977,F,Caucasian,American,YA,1998
Hannibal,"Harris, Thomas",,Random House,1977,M,Caucasian,American,DET,1999
Hannibal Rising,"Harris, Thomas",,Random House,1977,M,Caucasian,American,FAN,1984
Harold Prince'S Cabaret,"Kander, John",,Random House,1977,M,Caucasian,American,HIST,1967
Hand-Me-Downs,"Kohan, Rhea",,Random House,1977,F,,,LIT,1980
Harlequin Rex,"Marshall, Owen",,Random House,1977,M,Caucasian,New Zealander,SCI,1999
Guns,"Mcbain, Ed",,Random House,1977,M,Caucasian,American,DET,1976
Happy-To-Lucky Skipper,"Memling, Carl",,Random House,1977,M,Caucasian?,American,YA,1965
Hard Time,"Paretsky, Sara",,Random House,1977,F,Caucasian,American,DET,2000
Hatchet,"Paulsen, Gary",,Random House,1977,M,Caucasian,American,YA,1992
Hard Line,"Perle, Richard Norman",,Random House,1977,M,Caucasian,American,DET,1992
Harry Potter And The Chamber Of Secrets,"Rowling, J K",,Random House,1977,F,Caucasian,British,YA,1999
Harry Potter And The Prisoner Of Azkaban,"Rowling, J K",,Random House,1977,F,Caucasian,British,YA,2000
Hannah,"Whelan, Gloria",,Random House,1977,F,Caucasian,American,YA,1993
The siege of the Villa Lipp / | $c: Eric Ambler.,"Ambler, Eric,",uc1.b4948467,New York|Random House|c1977.,1977,male,white,british,DET,1977
"Slow days, fast company : | the world, the flesh, and L.A. : tales / | $c: by Eve Babitz.","Babitz, Eve.",uc1.32106002160098,New York|Knopf : distributed by Random House|1977.,1977,female,white,american,ROM,1977
The seabirds are still alive: | collected stories/ | $c: by Toni Cade Bambara.,"Bambara, Toni Cade.",mdp.39015035325649,New York|Random House|c1977.,1977,female,afam,american,LIT,1977
Burglars can't be choosers / | $c: Lawrence Block.,"Block, Lawrence.",uc1.32106005169971,New York|Random House|c1977.,1977,male,white,american,DET,1977
The sword of Shannara / | $c: Terry Brooks ; illustrated by the Brothers Hildebrandt.,"Brooks, Terry.",mdp.39015020727908,New York|Random House|c1977.,1977,male,white,american,FAN,1977
Breakaway / | $c: by Louise Field Cooper.,"Cooper, Louise Field,",uc1.b4386217,New York|Knopf : distributed by Random House|1977.,1977,female,white,american,ROM,1977
Kramer versus Kramer : | a novel / | $c: by Avery Corman.,"Corman, Avery.",mdp.39015009054878,New York|Random House|c1977.,1977,male,white,american,ROM,1977
Players / | $c: by Don DeLillo.,"DeLillo, Don.",mdp.39015001609513,New York|Knopf : distributed by Random House|1977.,1977,M,Caucasian,American,DET,1977
"September, September / | $c: Shelby Foote.","Foote, Shelby.",mdp.39015003675637,New York|Random House|c1977.,1977,male,white,american,LIT,1977
The Bloodworth orphans : | a novel / | $c: by Leon Forrest.,"Forrest, Leon.",mdp.39015043810574,New York|Random House|c1977.,1977,male,afam,american,LIT,1977
Kingkill : | a novel / | $c: by Thomas Gavin.,"Gavin, Thomas.",mdp.39015003928051,New York|Random House|c1977.,1977,male,na,na,HIST,1977
Evidence of love / | $c: Shirley Ann Grau,"Grau, Shirley Ann.",uc1.b3688167,New York|Knopf : distributed by Random House|1977,1977,F,white,American,ROM,1977
Flesh & blood : | a novel / | $c: Pete Hamill.,"Hamill, Pete,",uc1.b4950709,New York|Random House|c1977.,1977,M,Caucasian,American,DET,1977
The diehard / | $c: Jon A. Jackson.,"Jackson, Jon A.",mdp.39015056876330,New York|Random House|c1977.,1977,male,white,american,fiction,1977
White rat : | short stories / | $c: by Gayl Jones.,"Jones, Gayl.",uc1.32106002175484,New York|Random House|c1977.,1977,female,afam,american,LIT,1977
The boardwalk / | $c: by Robert Kotlowitz.,"Kotlowitz, Robert.",mdp.39015000627409,"New York|Knopf|New York|distributed by Random House|1977, c1976.",1977,male,white,american,YA,1977
